2021/12/21 21:00:00,72.4,70.0,None
2021/12/22 00:00:00,72.4,None,70.0
2021/12/22 06:00:00,72.4,None,70.0
2021/12/22 12:00:00,72.4,None,70.0
2021/12/22 18:00:00,74.5,69.98,199.99
2021/12/23 06:00:00,74.5,None,69.98
2021/12/23 12:00:00,74.5,69.98,199.99
2021/12/23 18:00:00,74.5,69.98,199.99
2021/12/24 06:00:00,74.5,None,69.98
2021/12/24 18:00:00,74.5,None,69.98
2021/12/25 00:00:00,74.5,None,69.98
2021/12/26 00:00:00,74.5,69.98,600.0
2021/12/26 12:00:00,74.5,69.98,600.0
2021/12/26 18:00:00,74.5,69.98,600.0
2021/12/27 12:00:00,74.2,69.98,600.0
2021/12/28 00:00:00,74.2,None,69.5
2021/12/28 06:00:00,74.2,None,69.5
2021/12/28 12:00:00,73.4,69.5,600.0
2021/12/29 00:00:00,73.4,None,69.5
2021/12/29 06:00:00,70.26,69.5,600.0
2021/12/29 18:00:00,70.26,None,69.5
2021/12/30 00:00:00,70.24,69.5,600.0
2021/12/31 00:00:00,70.2,69.5,600.0
2021/12/31 12:00:00,70.2,None,69.5
2021/12/31 18:00:00,70.2,69.5,600.0
2022/01/01 06:00:00,70.2,69.5,600.0
2022/01/01 12:00:00,70.2,69.5,600.0
2022/01/01 13:00:00,70.2,69.5,600.0
