2021/12/21 21:00:00,159.0,159.0,119.25
2021/12/22 00:00:00,119.25,249.0,119.25
2021/12/22 06:00:00,159.0,None,159.0
2021/12/22 12:00:00,249.0,None,249.0
2021/12/22 18:00:00,388.41,388.41,199.99
2021/12/23 06:00:00,147.87,388.41,147.87
2021/12/23 18:00:00,158.72,None,158.0
2021/12/24 00:00:00,159.0,None,159.0
2021/12/24 06:00:00,159.0,None,159.0
2021/12/24 18:00:00,159.0,None,159.0
2021/12/25 00:00:00,159.0,None,159.0
2021/12/26 00:00:00,159.0,159.0,600.0
2021/12/26 12:00:00,159.0,159.0,600.0
2021/12/27 00:00:00,297.0,None,297.0
2021/12/27 12:00:00,297.0,297.0,600.0
2021/12/28 00:00:00,297.0,None,297.0
2021/12/28 06:00:00,297.0,None,297.0
2021/12/28 12:00:00,297.0,297.0,600.0
2021/12/29 00:00:00,297.0,None,297.0
2021/12/29 06:00:00,175.22,295.0,175.22
2021/12/29 18:00:00,175.22,295.0,175.22
2021/12/30 06:00:00,295.0,None,295.0
2021/12/31 06:00:00,295.0,None,295.0
2021/12/31 12:00:00,214.99,None,214.99
2022/01/01 00:00:00,214.99,None,214.99
2022/01/01 06:00:00,214.99,214.99,600.0
2022/01/01 12:00:00,214.99,214.99,600.0
2022/01/01 13:00:00,214.99,214.99,600.0
